Time,WaterQ,WaterTemp,pH,DO,C,Turb,AmmoniaN,TP,TN,COD,InstanF,CumF,IntervalF,NitrateN
2024-04-13T00:00:00Z,Ⅳ类,17,7.69,4.23,272.4,7,0.304,0.212,2.99,10.8,284.09,1766646.25,201.13,2.13
2024-04-12T00:00:00Z,劣Ⅴ类,18.8,7.59,3.9,297.9,10.4,0.557,0.444,1.39,15.7,2523.82,1761217.75,8749.37,0.08
2024-04-11T00:00:00Z,劣Ⅴ类,17,7.74,4.84,262.6,10.7,0.578,0.546,1.51,13.7,2448.03,1736158.75,2734.25,0.14
2024-04-10T08:00:00Z,Ⅲ类,14.1,7.73,5.6,213.8,4.3,0.139,0.145,1.9,5.6,175.38,1733052.62,6097,1.25
2024-04-10T00:00:00Z,劣Ⅴ类,16.8,7.62,4.93,292.1,5.6,0.522,0.482,1.41,15.6,10611.3,1709671.62,18218.4,0.26
2024-04-09T00:00:00Z,Ⅳ类,16.9,7.68,3.6,258.7,1.3,0.123,0.218,2.92,10.7,4274.32,1653664.38,14995.9,2.17
2024-04-08T00:00:00Z,Ⅱ类,17.1,8.63,6.29,285.4,1.5,NA,NA,NA,NA,4828.49,1615330.5,8136.62,NA
2024-04-07T00:00:00Z,Ⅳ类,17,7.96,4.65,199.2,1.2,0.036,0.248,1.15,11.4,2012.32,1601227.38,4091.76,0.52
2024-04-06T00:00:00Z,Ⅴ类,17.1,8.34,4.77,271,1.3,0.102,0.303,1.06,14.8,272.13,1587894.88,449.63,0.23
2024-04-04T00:00:00Z,劣Ⅴ类,17.5,9.19,7.02,246.4,0.9,0.097,0.272,2.27,13.2,1402.64,1580205.75,2213.13,1.52
2024-04-03T08:00:00Z,Ⅳ类,15.6,7.51,3.36,270.9,0.9,0.201,0.227,3.68,14.4,2758.64,1577478.88,11913.6,2.87
2024-04-03T00:00:00Z,Ⅳ类,17,8.27,5.97,218.1,0.9,0.075,0.234,1.99,12,6665.2,1547786.25,23629.5,1.27
2024-04-02T20:00:00Z,Ⅳ类,18.4,9,7.13,251,0.9,0.1,0.295,1.97,13,845.36,1524156.75,33.5,1.14
2024-04-02T00:00:00Z,Ⅳ类,16,8.34,4.96,251.6,1,0.137,0.188,4.12,10.9,12357.3,1493885.88,16518.5,3.25
2024-04-01T00:00:00Z,Ⅳ类,16.5,7.88,4.24,263.7,1.1,0.141,0.225,3.28,11.2,3106.08,1470081.5,10305.1,2.51
2024-03-31T08:00:00Z,Ⅳ类,15,7.78,4.75,251,0.9,0.109,0.121,3.5,5.9,483.93,1459776.12,6924.62,2.95
2024-03-30T00:00:00Z,Ⅲ类,15.3,8.11,5.06,210.3,1.4,0.053,0.171,1.39,8.5,1849.31,1441028,1529.12,0.85
2024-03-29T08:00:00Z,Ⅳ类,13.1,7.69,4.55,173.2,1.1,0.044,0.174,1.17,5.6,233.06,1439469.62,4043.74,0.65
2024-03-29T00:00:00Z,Ⅳ类,17.6,8.23,4.6,282.9,1,0.104,0.254,2.85,13.4,2963.99,1426436.12,2514,2.09
2024-03-28T00:00:00Z,Ⅳ类,15.6,7.82,4.43,262.5,1,0.091,0.177,2.55,12.4,6211.72,1408404.62,7703.37,1.85
2024-03-25T00:00:00Z,Ⅴ类,14.4,8.09,5.6,245.1,41.7,0.311,0.303,1.18,13.8,358.42,1394233.88,881.5,0.16
2024-03-24T08:00:00Z,Ⅲ类,13.1,7.93,5.33,173.7,28.5,0.055,0.13,1.82,6.9,188.06,1393349,828.88,1.31
2024-03-16T00:00:00Z,Ⅴ类,16.4,7.65,2.88,221.3,26.1,0.379,0.269,1.34,12.7,7696.46,1381758.75,4387.37,0.43
2024-03-15T08:00:00Z,Ⅲ类,11.9,8.27,5.47,5.1,44.3,0.189,0.169,1.43,6.7,4786.34,1376809.62,5412.37,0.81
2024-03-14T08:00:00Z,Ⅲ类,11.2,8.38,5.18,185.8,57.7,0.061,0.111,0.99,3.2,467.81,1368820.12,5036.12,0.59
2024-03-14T00:00:00Z,Ⅴ类,15.8,7.92,2.82,269,62.6,0.508,0.245,2.25,15.1,3791.51,1362171.38,4455.26,1.14
2024-03-13T00:00:00Z,Ⅳ类,14.4,8.06,3.15,298.4,59.4,0.438,0.209,2.9,19.1,6563.02,1343246.38,20377.4,1.86
2024-03-12T00:00:00Z,劣Ⅴ类,14.2,7.77,2.89,260.1,49.8,0.782,0.51,1.41,17.2,3172.38,1311527.88,4429.63,0.26
2024-03-09T08:00:00Z,Ⅳ类,10.2,8.02,4.76,236.3,90.3,0.17,0.145,2.72,5.5,1314.07,1299037,267.75,2.27
2024-03-05T08:00:00Z,劣Ⅴ类,12,7.26,0.63,267.9,157.1,2.076,0.57,4,38.2,231.41,1289632.12,268,1.28
2024-03-01T00:00:00Z,Ⅴ类,12.4,7.68,2.77,263.7,30.5,0.937,0.393,3.03,19.5,2176.57,1281539.25,1657.37,1.74
2024-02-28T00:00:00Z,劣Ⅴ类,14.1,7.35,2.04,228.9,25.3,0.714,0.474,1.19,18.3,1289.85,1268743.62,3811.74,0.02
2024-02-26T00:00:00Z,Ⅲ类,11.8,7.64,5.03,229.1,37.9,0.037,0.138,1.22,6.5,1336.68,1253769.88,318.63,0.85
2024-02-25T00:00:00Z,Ⅳ类,12.2,7.8,4.68,217.3,38,0.132,0.164,1.15,7.3,1705.27,1252247.38,7408.5,0.74
2024-02-23T00:00:00Z,Ⅴ类,12.4,7.67,2.63,234.3,33.1,0.747,0.348,1.67,17.3,3972.71,1239277.75,4039,0.57
2024-02-21T00:00:00Z,Ⅴ类,11.6,7.55,2.96,215.3,44.6,0,0.284,3.03,11.3,2066.09,1233460.12,716.87,1.95
2024-02-20T08:00:00Z,Ⅳ类,10.7,7.54,3.77,188.8,47.7,0.534,0.235,1.2,8.5,4819.04,1231401.38,1251.76,0.41
2024-02-17T08:00:00Z,Ⅴ类,9,7.73,4.17,298.5,42.2,0.488,0.303,2.22,10.9,2020.68,1215465.38,1294.5,1.36
2024-02-15T08:00:00Z,Ⅴ类,9.7,7.6,3.52,198.4,45.5,0.542,0.339,3.3,16,991.31,1212399.25,3721.63,2.32
2024-02-15T00:00:00Z,劣Ⅴ类,11.1,7.68,3.61,204,53.6,0.627,0.421,1.24,17.3,2325.22,1206363.5,2025.62,0.25
2024-02-14T08:00:00Z,Ⅳ类,8.6,7.79,4.58,213.8,41.6,0.372,0.242,2.29,11.3,243.11,1204321.75,22.25,1.63
2024-02-13T00:00:00Z,Ⅴ类,11.2,7.79,4.07,229.6,48.2,0.462,0.317,1.66,16.2,420.33,1202869.62,196,0.84
2024-02-11T00:00:00Z,Ⅳ类,10.8,7.56,4.23,221.7,50.7,0.841,0.23,3.36,12.3,1501.76,1201044.75,1014.75,2.18
2024-02-10T00:00:00Z,Ⅳ类,10.4,7.86,4.69,206.9,35.3,0.164,0.188,2,11,6346.27,1188798.38,11079.9,1.44
2024-02-09T08:00:00Z,Ⅲ类,8.8,7.67,5.97,138,36.5,0.162,0.144,0.86,6.7,8374.98,1177105.75,1666.13,0.46
2024-02-08T00:00:00Z,Ⅳ类,9.9,7.68,4.52,212.5,20.2,0.282,0.196,3.12,10.8,6558.63,1165731,2986.88,2.43
2024-02-07T08:00:00Z,Ⅳ类,9.5,7.62,4.44,192.4,18.1,0.389,0.227,3.21,15.3,213.14,1162643,99.12,2.45
2024-02-06T08:00:00Z,Ⅳ类,8.7,7.69,4.91,164.6,10.7,0.172,0.19,3.51,9.2,913.91,1160629.75,2431,2.82
2024-02-04T08:00:00Z,Ⅳ类,7.8,7.58,5.2,313.8,7.3,0.387,0.213,5.58,13.8,2148.74,1157263.88,1626.38,4.75
2024-02-01T08:00:00Z,Ⅱ类,8.1,7.8,6.93,154.1,5.1,0.066,0.1,1.68,NA,592.08,1152170.25,118.75,1.38
2024-01-31T20:00:00Z,Ⅲ类,10,7.8,6.51,179.4,7.8,0.077,0.141,3.61,7,1442.77,1150426.38,168.26,3.16
2024-01-30T08:00:00Z,Ⅱ类,8,7.86,6.75,193.8,5,0.09,0.099,3.51,3.6,4457.73,1148990.12,4191.5,3.11
2024-01-29T08:00:00Z,Ⅱ类,7.6,7.86,6.81,183.9,5.8,0.06,0.091,3.6,3.2,1610.09,1143642.88,601.38,3.23
2024-01-28T08:00:00Z,Ⅳ类,7.7,7.51,4.83,228.1,8,0.123,0.126,2.48,12.8,1713.89,1140334.88,2547.38,1.92
2024-01-28T00:00:00Z,Ⅲ类,9.6,7.82,6.56,272,12.1,0.099,0.149,3.37,18.2,164.58,1137188.38,160.5,2.72
2024-01-17T08:00:00Z,Ⅲ类,9,7.53,6.08,184.5,20,0.055,0.113,1.8,3.2,637.04,1136467.25,832.5,1.48
2024-01-16T00:00:00Z,Ⅲ类,10.2,7.68,6.29,184.4,29.3,0.129,0.162,3.15,7.2,181.16,1133449.75,248.75,2.66
2024-01-15T00:00:00Z,Ⅲ类,9.4,7.63,6.4,41.3,20.2,0.202,0.183,2.63,5.3,392.32,1132186.38,1901.63,2.13
2024-01-12T00:00:00Z,Ⅲ类,10.2,7.8,7.52,160,55,0.072,0.172,1.67,6.7,221.62,1125590.5,1534.12,1.19
2024-01-11T00:00:00Z,Ⅳ类,9.9,7.57,6.37,266.5,40.5,0.223,0.205,3.04,3.4,472.27,1122604.38,592.26,2.51
2024-01-10T00:00:00Z,Ⅱ类,9.8,8.08,8.28,242.5,18.4,0.032,0.1,1.37,NA,543.44,1121802.62,4284.24,1.14
2024-01-08T08:00:00Z,Ⅲ类,8.8,7.8,8.01,165.8,50.3,0.021,0.106,1.09,NA,386.28,1116939.12,325.24,0.84
2024-01-04T08:00:00Z,Ⅲ类,9,7.51,6.43,240.2,15,0.074,0.111,1.59,NA,1627.57,1115392.12,1011.37,1.27
2024-01-04T00:00:00Z,Ⅲ类,10.4,7.81,8.03,238.6,16.4,0.057,0.126,1.78,8.4,760.31,1114189.88,1857.5,1.41
2023-12-29T00:00:00Z,Ⅳ类,9.9,7.68,6.42,280.6,24.7,0.122,0.216,4.68,4.1,2355.97,1107376.62,5175.62,4.23
2023-12-28T08:00:00Z,Ⅲ类,9.6,7.99,7.51,238.8,38.5,0.027,0.139,1.5,NA,7726.08,1095861,17152.6,1.17
2023-12-20T08:00:00Z,Ⅱ类,9.6,7.77,7.38,192,51.8,0.033,0.093,1.97,NA,1949.88,1074596.88,1117.26,1.68
2023-12-20T00:00:00Z,Ⅲ类,10.9,7.68,6.29,274,47.2,0.121,0.141,4.39,NA,475.38,1070286.38,6803.63,3.92
2023-12-19T20:00:00Z,Ⅳ类,12.2,7.63,6.09,257.4,29.6,0.206,0.253,4.22,3.6,288.74,1063482.75,224.5,2.96
2023-12-17T08:00:00Z,Ⅲ类,10.4,7.71,7.27,197,30.2,0.076,0.147,1.95,NA,255.07,1063038.25,506.13,1.68
2023-12-17T00:00:00Z,Ⅲ类,11.5,7.61,5.69,315.4,58.8,0.304,0.192,3.02,5.4,808.87,1060563,5656.88,2.5
2023-12-16T00:00:00Z,Ⅲ类,11.2,7.61,5.88,288.9,25.9,0.177,0.198,2.86,3.9,9385.08,1034935.81,34916,2.43
2023-12-15T20:00:00Z,Ⅳ类,13.2,7.64,5.92,282.4,70.2,0.195,0.204,2.53,11.8,295.98,1000019.81,68.37,2.11
2023-12-15T00:00:00Z,劣Ⅴ类,11.9,7.7,6.13,281.6,65,0.229,0.42,4.52,8.8,15204.5,968763.5,48063.5,3.03
2023-12-14T20:00:00Z,劣Ⅴ类,12.7,7.72,6.14,308.3,29.3,1.619,0.484,4.58,8.9,4168.2,920700,1725.44,2.81
2023-12-14T08:00:00Z,Ⅲ类,11.2,7.74,6.57,286.7,66.1,0.127,0.163,2.85,6.5,5565.56,917243.94,1408.25,2.54
2023-12-14T00:00:00Z,Ⅲ类,12.3,7.69,6.15,315.8,50.8,0.14,0.171,2.51,7.3,2034.18,895672.19,6479.44,2.19
2023-12-13T08:00:00Z,Ⅳ类,11,7.63,5.79,311.2,43.5,0.2,0.201,3.01,8.1,2448.74,888842.94,2962.06,2.64
2023-12-13T00:00:00Z,Ⅴ类,11.4,7.66,5.93,313,37,0.265,0.309,3.36,9.2,7681.45,860505.25,6428.37,2.9
2023-12-12T08:00:00Z,Ⅲ类,10.4,7.61,6.08,322.4,59.6,0.261,0.163,3.16,5.2,2738.92,852218.81,2159,2.76
2023-12-12T00:00:00Z,Ⅲ类,11.9,7.6,5.65,293.6,67.9,0.214,0.161,2.97,6.7,15581.7,820113.5,23519.7,2.66
2023-12-11T08:00:00Z,Ⅲ类,11.2,7.72,NA,258.8,NA,0.094,0.13,3.57,3.7,4292.58,795550.75,NA,3.29
2023-12-11T00:00:00Z,Ⅲ类,12.9,7.67,6.26,265.4,45.6,0.106,0.149,3.75,4.6,1607.13,794152.19,2970.57,3.42
2023-12-10T08:00:00Z,Ⅲ类,12.3,7.68,6.5,310.4,25,0.125,0.161,3.78,5.9,342.14,790881.94,181.88,3.41
2023-12-09T08:00:00Z,Ⅳ类,13.8,7.11,3.26,348.7,52.2,0.257,0.277,6.06,15.4,3539.69,778979.81,2022,5.45
2023-12-09T00:00:00Z,Ⅴ类,15.8,7.18,4.61,364.6,74.4,0.251,0.312,7.81,19.8,8275.23,761397.75,17589.4,7.1
2023-12-08T08:00:00Z,Ⅲ类,13.3,7.35,5.23,248.4,33,0.097,0.157,4.13,6.8,6191.69,741730.81,2868.25,3.81
2023-12-07T08:00:00Z,Ⅳ类,12.8,7.57,3.75,257.3,32.2,0.106,0.186,2.52,6.9,978.56,737887.75,2005.69,1.8
2023-12-06T08:00:00Z,Ⅳ类,12.1,7.71,4.3,NA,27.5,0.032,0.133,1.8,6.1,372.29,735254.75,1465.81,1.32
2023-12-06T00:00:00Z,Ⅲ类,13.7,8.47,8.76,201,28.9,0.028,0.152,1.61,5.9,551.06,729705.75,416.69,1.56
2023-12-05T08:00:00Z,Ⅲ类,11.4,7.83,5.5,252.5,55.5,0.031,NA,2.48,5.5,9028.08,727571.12,12334.2,2.38
2023-12-05T00:00:00Z,Ⅰ类,12.8,8.26,8.36,289,33.7,0.023,0.014,2.49,8.5,2389.46,713430.62,6469.56,2.4
2023-12-04T08:00:00Z,Ⅲ类,11.6,7.78,6.02,336.6,45.1,0.032,0.165,3.47,9.7,321,706448,954.94,3.14
2023-12-04T00:00:00Z,Ⅲ类,13.7,7.85,6.49,348.3,41.8,0.049,0.183,3.15,9.1,9723.48,698907.94,7974.25,1.52
2023-12-03T20:00:00Z,Ⅲ类,15.2,8.14,8.02,258.4,37.4,0.043,0.19,1.35,11.2,316.08,690933.69,61.75,0.96
2023-12-03T08:00:00Z,Ⅲ类,12.8,7.78,5.86,158.5,62.3,0.015,0.115,1.62,3.8,319.68,690717.38,1387.44,1.61
2023-12-02T08:00:00Z,Ⅲ类,12,7.78,6.04,159.8,28.8,0.021,0.117,1.59,3.5,12004.5,685318.06,6775.81,1.89
2023-12-02T00:00:00Z,Ⅲ类,14.2,8.17,8.33,238,47,0.043,0.129,2.2,4.9,199.9,677640.5,3408.12,1.9
2023-12-01T00:00:00Z,Ⅲ类,13.3,7.96,5.98,258.9,33,0.13,0.144,3.55,5.6,171.86,673307.19,2387,2.19
2023-11-30T08:00:00Z,Ⅲ类,12,8,6.5,225.6,52.2,0.084,0.139,1.8,6.2,2195.32,669647.06,1880.5,2.07
2023-11-30T00:00:00Z,Ⅲ类,13.4,7.92,5.46,287.2,49.7,0.217,0.193,2.19,6,3566.69,665436.88,11330.3,1.74
2023-11-29T20:00:00Z,Ⅲ类,14.7,7.89,6,268.6,33.6,0.137,0.181,1.8,7.5,313.31,654106.62,194.93,1.58
2023-11-29T08:00:00Z,Ⅲ类,11.6,7.91,6.58,208.8,54.6,0.07,0.11,2.04,3.1,7389.86,652150.56,2802.31,2.47
2023-11-29T00:00:00Z,Ⅲ类,12.9,7.95,5.65,275.5,64.4,0.118,0.156,2.93,6.9,767.09,648437.12,4275.5,2.2
2023-11-28T08:00:00Z,Ⅱ类,11.5,8.09,7.27,205.5,45.1,0.04,0.096,3.25,NA,462.11,644004.38,943.44,3.37
2023-11-28T00:00:00Z,Ⅲ类,13,8.01,6.45,260.3,54,0.067,0.105,4.44,3.5,596.13,640723.56,2637,3.85
2023-11-27T20:00:00Z,Ⅲ类,14.1,7.82,5.92,258.8,36.9,0.209,0.127,4.11,7.1,3020.88,638086.56,1509.75,3.61
2023-11-27T08:00:00Z,Ⅱ类,11.1,8.04,7.3,208,39.4,0.05,0.1,2.02,3.4,4422.67,634557,3963.06,2.61
2023-11-27T00:00:00Z,Ⅲ类,12.9,8.04,6.43,252.4,50.4,0.081,0.167,3.26,7.5,2138.54,628967.5,20392.8,2.99
2023-11-26T20:00:00Z,Ⅲ类,14,8.08,6.43,259.5,74.8,0.124,0.175,3.24,6.4,3569.77,608574.75,3655.19,3.36
2023-11-25T08:00:00Z,Ⅲ类,12.6,8.01,6.5,215,32.8,0.064,0.108,2.86,3.1,14542.2,597357.75,20655.6,3
2023-11-25T00:00:00Z,Ⅲ类,13.9,8.02,6.05,268.5,44.1,0.072,0.153,3.97,7.4,18838.7,563889,59889.6,4.23
2023-11-24T20:00:00Z,Ⅲ类,14,8.02,6.2,327.2,35.4,0.109,0.171,4.6,7.3,4683.67,503999.38,601.63,4.26
2023-11-24T08:00:00Z,Ⅲ类,11.3,7.94,6.42,287.5,43.3,0.135,0.156,4.78,4.7,4590.67,501202.19,1417.07,4.38
2023-11-24T00:00:00Z,Ⅲ类,12.9,7.9,5.76,354.3,51.7,0.195,0.192,4.67,6.2,7279.57,495511,19475,3.82
2023-11-23T20:00:00Z,Ⅲ类,14.1,7.98,5.86,314.6,29.8,0.141,0.172,4.1,6.5,2259.48,476036.03,1833.28,3.26
2023-11-23T08:00:00Z,Ⅲ类,11.9,8.06,7.18,225,44.6,0.039,0.107,2.59,NA,9353.09,472842.19,10591.5,3.31
2023-11-23T00:00:00Z,Ⅲ类,13.8,8,5.93,317.4,73.3,0.096,0.142,5.96,4.2,9561.59,448809.41,30995.4,6.17
2023-11-22T20:00:00Z,Ⅲ类,15,8.05,5.89,329.4,70.6,0.136,0.186,6.74,7.3,2566.87,417813.97,949.5,6.25
2023-11-22T08:00:00Z,Ⅲ类,13.2,8.11,6.72,240.3,72,0.056,0.124,3.41,NA,5797.75,413102.31,6560,3.52
2023-11-22T00:00:00Z,Ⅲ类,14.6,8.03,6.12,279.7,37.2,0.075,0.141,4.48,6.2,668.13,406006.88,3661.79,4.2
2023-11-21T20:00:00Z,Ⅲ类,15.2,8.01,5.8,309.1,66,0.117,0.162,4.38,6.4,2242.01,402345.09,822.28,3.79
2023-11-21T08:00:00Z,Ⅲ类,12.2,8.05,6.79,268,77.4,0.087,0.123,3.5,3.9,8256.25,394727.38,16042.1,3.14
2023-11-21T00:00:00Z,Ⅲ类,13.1,8.07,6.54,224.3,78.2,0.064,0.133,2.81,7.2,462.59,363093.28,5531.12,3.47
2023-11-20T20:00:00Z,Ⅲ类,14.8,8.08,6.15,346.3,56.8,0.109,0.183,4.83,6.5,4713.48,357562.16,3468.97,4.71
2023-11-20T08:00:00Z,Ⅳ类,12.5,7.46,3.65,373.4,66.4,0.196,0.216,5.84,9.7,2113.79,353494.09,3416.97,5.99
2023-11-20T00:00:00Z,Ⅳ类,13.7,7.68,5.96,396.1,77.7,0.174,0.261,7.3,11.8,1290.52,347625.84,8878.12,7.29
2023-11-19T20:00:00Z,Ⅳ类,14.8,7.84,7.47,416.3,53.4,0.41,0.286,7.72,12.7,331.68,338747.72,318.13,7.62
2023-11-18T20:00:00Z,劣Ⅴ类,13.7,7.54,4.9,462.8,100.1,0.968,0.546,8.47,28.9,791.96,337374.69,698.25,5.73
2023-11-12T08:00:00Z,Ⅱ类,12.4,8.03,7.37,171.6,68.5,NA,0.096,1.48,NA,277.98,330782.41,4563.22,1.72
2023-11-12T00:00:00Z,Ⅲ类,14.5,7.93,6.28,310,67.9,0.097,0.194,3.08,5,838.79,325964.09,6834.84,2.89
2023-09-01T20:00:00Z,劣Ⅴ类,21.4,7.46,3.36,357.7,31.1,0.316,0.626,7.97,36.1,153.74,313576.66,172.35,6.69
2023-09-01T00:00:00Z,劣Ⅴ类,20.8,7.41,4.37,497,25.2,0.111,0.605,9.38,35.5,38748.6,273392.25,75913,8.91
2023-08-31T16:00:00Z,劣Ⅴ类,NA,NA,NA,514.6,NA,0.122,0.659,10,35.1,209.58,197128.31,1840.12,9.59
2023-08-31T08:00:00Z,劣Ⅴ类,18.7,7.35,3.52,446.9,26.5,0.323,0.779,10.48,38.7,242.02,195288.19,954.31,9.49
2023-08-31T04:00:00Z,劣Ⅴ类,19,7.35,2.78,495.2,14.6,0.251,0.713,9.36,38.2,231.78,194333.88,922.52,8.52
2023-08-31T00:00:00Z,劣Ⅴ类,19.2,7.37,2.94,466,20,0.256,0.638,7.83,36.3,228.97,193411.36,903.72,6.88
2023-08-30T20:00:00Z,劣Ⅴ类,19.6,7.43,3.26,398,20.6,0.155,0.549,5.98,32.5,221.51,192507.64,924.26,5.26
2023-08-30T16:00:00Z,劣Ⅴ类,19.8,7.5,4.77,411.3,21.5,0.08,0.403,5.29,23.8,216.59,191583.38,1013.97,4.92
2023-08-30T00:00:00Z,Ⅴ类,20.3,7.52,5.74,424.6,15,0.125,0.354,4.96,22.7,13282.8,162256.45,36602.9,4.67
2023-08-28T16:00:00Z,劣Ⅴ类,21,7.58,6.1,410,5.4,0.123,0.479,5,27.8,223.91,124363.22,1483.04,4.56
2023-08-27T20:00:00Z,劣Ⅴ类,23.1,7.53,6.28,419.8,6.8,0.097,0.439,4.97,25.4,174.29,121583.88,698.5,4.51
2023-08-27T16:00:00Z,劣Ⅴ类,23.8,7.51,6.17,446.8,11.4,0.214,0.513,5.06,29.7,187.87,120885.38,1121.5,4.52
2023-08-26T16:00:00Z,劣Ⅴ类,25.6,7.32,5.8,417.5,8.8,0.114,0.55,5.87,30,253.34,117862.55,1965.15,5.74
2023-08-26T08:00:00Z,劣Ⅴ类,20.6,7.09,2.97,378.7,13.6,0.406,0.46,7.66,29.8,263.02,115897.4,1074.02,7.43
2023-08-26T04:00:00Z,劣Ⅴ类,21,7.06,2.67,382.4,18.5,0.543,0.468,8.7,30.3,269.99,114823.38,1025.86,8.39
2023-08-26T00:00:00Z,劣Ⅴ类,21.5,7.01,2.73,444.9,12.2,0.586,0.477,10.43,30.6,314.96,113797.52,1383.42,NA
2023-08-25T20:00:00Z,劣Ⅴ类,22.2,6.97,3.06,451.1,13.8,0.716,0.499,11.82,32.8,384.74,112414.1,1527.59,NA
2023-08-25T16:00:00Z,劣Ⅴ类,22.3,6.96,3.52,447.6,24.5,0.939,0.524,12.98,36,397.08,110886.51,2979.83,NA
2023-08-25T08:00:00Z,劣Ⅴ类,20.3,6.96,3.15,569.3,15.3,1.189,0.564,14.83,36.3,318.44,107906.68,1216.59,NA
2023-08-25T04:00:00Z,劣Ⅴ类,20.5,6.93,2.48,393.8,14.8,1.097,0.518,13.43,35.3,353.17,106690.09,1394.29,NA
