站点,样品类型,样品ID,时间,水温(℃),pH 值(无量纲),溶解氧(mg/L),电导率(uS/cm),浊度(NTU),氨氮(mg/L),总磷(mg/L),总氮(mg/L),化学需氧量(mg/L),硝酸盐氮(mg/L),透明度(cm)
5,水样,NYMY231013143,2023/11/17 16:15,,,,,,0.042,0.267,1.34,10,1.14,
5,水样,NYMY231013145,2023/11/17 08:00,,,,,,0.049,0.227,1.35,4.1,1.26,
5,水样,NYMY231013146,2023/11/16 08:00,,,,,,0.058,0.223,1.09,4.8,0.96,
5,水样,NYMY23103110,2023/11/15 08:00,,,,,,0.029,0.164,1.13,3.2,1.14,
5,水样,NYMY231013147,2023/11/13 16:07,,,,,,0.059,0.203,0.62,3.0 (L),0.51,
5,水样,NYMY231013148,2023/11/13 08:00,,,,,,0.037,0.2,0.66,6.9,0.53,
5,水样,NYMY23103123,2023/11/6 08:00,,,,,,0.011,0.248,0.54,4.9,0.49,
5,水样,NYMY23103122,2023/11/5 08:00,,,,,,0.014,0.244,0.54,5.3,0.39,
5,水样,NYMY23103127,2023/11/4 08:00,,,,,,,0.238,0.6,,0.82,
5,水样,NYMY23103126,2023/11/3 08:00,,,,,,,0.397,0.32,,0.43,
5,水样,NYMY23103125,2023/11/2 08:00,,,,,,,0.233,0.27,,0.49,
5,水样,NYMY23103158,2023/10/29 08:00,,,,,,0.043,0.86,1.91,19.7,0.81,
5,水样,NYMY23103159,2023/10/28 08:00,,,,,,0.458,0.851,1.89,18.9,0.87,
5,水样,NYMY2310316,2023/10/27 08:00,,,,,,0.010 (L),0.928,1.6,20.2,1.34,
5,水样,NYMY23103160,2023/10/26 08:00,,,,,,0.017,0.776,0.9,16.9,0.99,
5,水样,NYMY23103161,2023/10/25 08:00,,,,,,0.012,0.606,0.97,16.4,1.04,
5,水样,NYMY23103162,2023/10/24 08:00,,,,,,0.010 (L),0.706,2.11,8.6,2.22,
5,水样,NYMY2310399,2023/10/23 08:00,,,,,,0.010 (L),0.557,3.1,23.8,2.79,
5,水样,NYMY2310395,2023/10/21 08:00,,,,,,0.153,0.586,3.62,25.1,2.22,
5,水样,"NYMY23091912,NYMY2310396",2023/10/20 08:00,,,,,,0.010 (L),0.579,4.14,22.4,3.1,
5,水样,NYMY2310397,2023/10/19 08:00,,,,,,0.010 (L),0.392,3.91,22.4,3.06,
5,水样,NYMY2310398,2023/10/18 08:00,,,,,,0.010 (L),0.401,3.56,22.8,3,
5,水样,nymy23091926,2023/10/11 08:00,,,,,,0.010 (L),0.62,6.77,30.5,6.60 (T),
5,水样,nymy23091927,2023/10/10 08:00,,,,,,,0.817,11.32,39.2,10.14 (T),
5,水样,nymy23091922,2023/10/9 08:00,,,,,,0.255,0.839,10.84,41.7,9.43 (T),
5,水样,nymy23091923,2023/10/8 08:00,,,,,,0.010 (L),0.624,6.99,36.8,6.67 (T),
5,水样,nymy23091924,2023/10/7 08:00,,,,,,0.010 (L),0.208,2.07,6.3,2.09,
5,水样,nymy23091925,2023/10/6 08:00,,,,,,0.010 (L),0.273,1.03,10.7,1.53,
5,水样,NYMY23092062,2023/10/3 08:00,,,,,,0.010 (L),0.229,0.67,10.1,1.42,
5,水样,NYMY23092063,2023/10/2 08:00,,,,,,0.010 (L),0.211,0.28,10.1,0.9,
5,水样,NYMY23092058,2023/10/1 08:00,,,,,,0.010 (L),0.267,0.85,10.2,1.45,
5,水样,NYMY23092059,2023/9/30 08:00,,,,,,0.010 (L),0.129,1.34,8.2,1.94,
5,水样,NYMY23092060,2023/9/29 08:00,,,,,,0.010 (L),0.186,1.34,8.9,2,
5,水样,NYMY23092061,2023/9/28 08:00,,,,,,0.010 (L),0.15,0.1,8.6,0.8,
5,水样,nymy23082373,2023/9/26 08:00,,,,,,0.010 (L),0.193,0.36,9.1,1.12,
5,水样,nymy23082372,2023/9/25 08:00,,,,,,0.039,0.44,,19.5,,
5,水样,nymy23082377,2023/9/23 08:00,,,,,,0.010 (L),0.134,0.58,10,1.38,
5,水样,nymy23082375,2023/9/21 08:00,,,,,,0.010 (L),0.354,4.83,16.4,5.41 (T),
5,水样,BYD23082238,2023/9/19 08:00,,,,,,0.010 (L),0.346,14.21,15.9,1.7,
5,水样,BYD23082239,2023/9/18 08:00,,,,,,0.010 (L),0.37,2.15,16.1,1.71,
5,水样,NYMY23033039,2023/9/17 08:00,,,,,,1.237,0.382,,11.3,1.71,
5,水样,NYMY23033038,2023/9/16 08:00,,,,,,0.502,0.376,8.38,17,1.73,
5,水样,BYD23082235,2023/9/15 08:00,,,,,,0.010 (L),0.384,8.83,14.8,1.72,
5,水样,BYD23082237,2023/9/14 08:00,,,,,,0.010 (L),0.381,12.35,15.5,1.69,
5,水样,NYMY23082863,2023/9/2 17:37,,,,,,0.010 (L),0.792,7.91,32.3,6.95 (T),
5,水样,NYMY23082864,2023/9/2 15:37,,,,,,0.010 (L),0.786,7.18,,6.51 (T),
5,水样,NYMY23082865,2023/9/2 13:37,,,,,,0.010 (L),0.799,6.58,28.1,6.03 (T),
5,水样,BYD23082272,2023/9/2 09:37,,,,,,,,5.48,24.8,5.28 (T),
5,水样,BYD23082271,2023/9/2 07:37,,,,,,0.010 (L),,5.13,25.4,4.95,
5,水样,NYMY23082866,2023/9/2 01:37,,,,,,0.010 (L),,4.61,,4.4,
5,水样,NYMY23082867,2023/9/1 23:37,,,,,,1.085,,4.43,25.2,3.01,
5,水样,NYMY23082862,2023/9/1 17:37,,,,,,0.025,0.447,5.29,23.3,4.79,
5,水样,BYD23082268,2023/8/29 08:00,,,,,,,0.396,7.26,16.9,6.40 (T),
5,水样,BYD23082267,2023/8/28 08:00,,,,,,,0.487,3.9,21.1,3.06,
5,水样,BYD23082266,2023/8/27 08:00,,,,,,0.010 (L),0.437,5.1,21.1,4.76,
5,水样,BYD23082265,2023/8/26 08:00,,,,,,,0.482,8.94,23.9,8.00 (T),
5,水样,BYD23082264,2023/8/25 12:00,,,,,,,0.67,12.20 (T),33.9,10.71 (T),
5,水样,BYD23082263,2023/8/24 12:00,,,,,,,0.577,11.25 (T),32.3,10.02 (T),
5,水样,BYD23082262,2023/8/24 10:40,,,,,,,0.631,10.54 (T),29.9,9.31 (T),
5,水样,BYD23082260,2023/8/23 12:00,,,,,,,0.494,11.47 (T),32.5,10.15 (T),
6,水样,nymy24052096,2024/5/29 04:47,,,,,,0.975,0.492,12.67,169.6,8.95,
6,水样,nymy24052097,2024/5/29 02:47,,,,,,1.642,0.309,18.08,199.4,,
6,水样,nymy24052095,2024/5/29 00:06,,,,,,,0.257,22.11,201.9,,
6,水样,nymy24052093,2024/5/28 23:26,,,,,,0.367,0.517,10.33,229.5,7.74,
6,水样,nymy24052092,2024/5/28 22:46,,,,,,1.952,0.387,21.42,235.9,,
6,水样,nymy24052094,2024/5/28 22:06,,,,,,0.649,0.559,15.42,248.5,12.26 (T),
6,水样,nymy2405709,2024/5/20 23:52,,,,,,0.07,0.422,,,7.35,
6,水样,NYMY23111931,2023/12/4 08:00,,,,,,0.010 (L),0.226,,,,
6,水样,NYMY23111932,2023/12/3 08:00,,,,,,0.010 (L),0.105,1.09,9.3,1.3,
6,水样,NYMY23111933,2023/12/2 08:00,,,,,,0.010 (L),0.1,0.84,4.6,1.26,
6,水样,NYMY23111930,2023/12/1 08:00,,,,,,0.010 (L),0.19,,13.4,0.34,
6,水样,NYMY23111989,2023/11/23 08:00,,,,,,,0.183,1.75,,1.71,
6,水样,NYMY23103118,2023/11/21 08:00,,,,,,0.055,0.152,4.79,8.5,4.19,
6,水样,NYMY23111373,2023/11/20 08:00,,,,,,0.023,0.216,4.32,12.9,3.74,
6,水样,NYMY23111374,2023/11/19 08:00,,,,,,0.061,0.404,0.86,32.7,0.62,
6,水样,NYMY23111375,2023/11/18 08:00,,,,,,0.052,0.283,5.82,9.2,5.01,
6,水样,NYMY23111376,2023/11/17 16:30,,,,,,0.014,0.106,2.33,3.0 (L),2.26,
6,水样,NYMY23103117,2023/11/17 16:10,,,,,,0.032,0.098,1.73,9.1,1.67,
6,水样,NYMY23103119,2023/11/17 08:00,,,,,,0.061,0.103,2.53,3.0 (L),2.59,
6,水样,NYMY2310312,2023/11/16 08:00,,,,,,0.084,0.172,0.48,12.4,0.23,
6,水样,NYMY23103121,2023/11/14 08:00,,,,,,0.017,0.063,1.3,3.0 (L),1.35,
6,水样,NYMY231013142,2023/11/13 08:00,,,,,,0.036,0.11,1.09,3.6,1.01,
6,水样,NYMY231013138,2023/11/12 08:00,,,,,,0.010 (L),0.116,1.11,3.0 (L),1.1,
6,水样,NYMY231013139,2023/11/11 08:00,,,,,,0.022,0.115,2.82,3.0 (L),3.05,
6,水样,NYMY23101314,2023/11/10 08:00,,,,,,0.025,0.097,2.79,3.0 (L),3.08,
6,水样,NYMY231013140,2023/11/9 08:00,,,,,,0.016,0.096,2.8,3.0 (L),3.02,
6,水样,NYMY231013141,2023/11/8 08:00,,,,,,0.010 (L),0.066,1.68,3.0 (L),1.77,
6,水样,NYMY23091907,2023/11/6 08:00,,,,,,0.010 (L),0.097,1.06,3.0 (L),1.1,
6,水样,NYMY23091908,2023/11/5 08:00,,,,,,0.019,0.075,0.94,3.0 (L),1.02,
6,水样,NYMY23103132,2023/11/4 08:00,,,,,,,0.117,1.43,,1.43,
6,水样,NYMY23103133,2023/11/3 08:00,,,,,,,0.623,0.46,,0.16,
6,水样,NYMY23103134,2023/11/2 08:00,,,,,,,0.072,0.59,,0.71,
6,水样,NYMY23103135,2023/11/1 08:00,,,,,,,0.196,1,,1.28,
6,水样,NYMY23090688,2023/10/29 08:00,,,,,,0.19,0.614,0.18,16.8,0.09,
6,水样,NYMY23090687,2023/10/28 08:00,,,,,,0.112,0.696,0.12,16.7,0.04,
6,水样,NYMY2310391,2023/10/27 08:00,,,,,,0.271,0.702,0.77,31,0.28,
6,水样,NYMY23103156,2023/10/26 08:00,,,,,,0.231,1.089,0.89,53.3,0.27,
6,水样,NYMY23103157,2023/10/25 08:00,,,,,,0.358,0.873,0.74,44.4,0.16,
6,水样,NYMY23103155,2023/10/24 08:00,,,,,,0.010 (L),0.106,1,3.0 (L),1.5,
6,水样,nymy2310392,2023/10/23 08:00,,,,,,0.113,,,,,
6,水样,NYMY2310393,2023/10/21 08:00,,,,,,,0.496,0.75,24.3,0.51,
6,水样,NYMY2310394,2023/10/17 08:00,,,,,,0.010 (L),0.394,1.18,25.9,0.8,
6,水样,nymy23090689,2023/9/13 19:15,,,,,,0.010 (L),0.806,5.02,24.8,5.61 (T),
6,水样,NYMY23082853,2023/9/1 23:35,,,,,,0.010 (L),,0.7,29.1,0.9,
6,水样,NYMY23082857,2023/9/1 17:35,,,,,,,,1.47,36.6,1.39,
6,水样,BYD23082253,2023/8/29 08:00,,,,,,,0.555,2,21.3,1.57,
6,水样,BYD23082252,2023/8/28 17:40,,,,,,,0.487,4.1,22,3.45,
6,水样,BYD23082251,2023/8/28 08:00,,,,,,,0.44,5.51,17.1,4.76,
6,水样,BYD23082250,2023/8/27 08:00,,,,,,,0.627,6.1,19.1,5.17 (T),
6,水样,BYD23082249,2023/8/26 08:00,,,,,,,1.018,2.82,25.1,1.87,
6,水样,BYD23082248,2023/8/25 10:20,,,,,,,0.923,5.08,23.5,2.76,
6,水样,BYD23082247,2023/8/24 19:46,,,,,,,0.785,8.48,25,5.43 (T),
6,水样,BYD23082246,2023/8/24 18:11,,,,,,,0.72,8.87,25.1,5.79 (T),
6,水样,BYD23082245,2023/8/23 16:49,,,,,,,0.625,9.95 (T),30.3,7.04 (T),
6,水样,BYD23082244,2023/8/22 16:49,,,,,,,0.625,7.5,24.8,6.59 (T),
7,水样,nymy240520103,2024/5/29 04:07,,,,,,1.341,0.27,11.09,135.2,7.66,
7,水样,nymy24052099,2024/5/29 03:27,,,,,,,0.475,7.18,144.1,5.73,
7,水样,nymy24052098,2024/5/29 02:07,,,,,,,0.38,6.89,146.5,5.33,
7,水样,nymy240520104,2024/5/29 01:26,,,,,,,0.235,8.67,155.9,7.37,
7,水样,nymy240520102,2024/5/29 00:46,,,,,,0.039,0.542,5.54,163,3.61,
7,水样,nymy231128164,2024/5/21 05:56,,,,,,,0.806,,23.5,24.87 (T),
7,水样,NYMY23112835,2023/12/13 08:00,,,,,,0.010 (L),0.122,,,,
7,水样,NYMY23112832,2023/12/12 08:00,,,,,,0.032,0.097,,,,
7,水样,NYMY23112833,2023/12/11 08:00,,,,,,0.055,0.201,,,,
7,水样,NYMY23112831,2023/12/10 08:00,,,,,,0.04,0.187,,,,
7,水样,NYMY23112830,2023/12/9 08:00,,,,,,0.010 (L),0.14,,,,
7,水样,NYMY23112834,2023/12/8 08:00,,,,,,0.010 (L),0.121,,,,
7,水样,NYMY23111923,2023/12/6 08:00,,,,,,0.010 (L),0.134,1.26,10,1.35,
7,水样,NYMY23111922,2023/12/5 08:00,,,,,,0.010 (L),0.084,1.2,4.3,1.53,
7,水样,NYMY23111925,2023/12/4 08:00,,,,,,0.010 (L),0.1,2.82,7.7,3.07,
7,水样,NYMY23111926,2023/12/3 08:00,,,,,,0.010 (L),0.074,0.74,6.8,0.99,
7,水样,NYMY23111924,2023/12/2 08:00,,,,,,0.010 (L),0.084,1.24,6.5,1.56,
7,水样,NYMY23111927,2023/12/1 08:00,,,,,,0.010 (L),0.145,1.16,8.5,1.38,
7,水样,NYMY23111395,2023/11/28 08:00,,,,,,,0.116,1.53,,1.61,
7,水样,3-23051209,2023/11/27 08:00,,,,,,,0.187,1.74,,1.68,
7,水样,NYMY23111399,2023/11/26 08:00,,,,,,,0.171,1.39,,1.82,
7,水样,NYMY23111398,2023/11/25 08:00,,,,,,,0.075,1.18,,1.36,
7,水样,NYMY23111397,2023/11/24 08:00,,,,,,,0.083,3.8,,3.87,
7,水样,NYMY23101398,2023/11/21 08:00,,,,,,0.03,0.138,4.85,3.6,4.35,
7,水样,NYMY23111369,2023/11/20 08:00,,,,,,0.024,0.161,5.46,3.0 (L),4.92,
7,水样,NYMY23111370,2023/11/19 08:00,,,,,,0.018,0.191,7.06,4.8,6.07,
7,水样,NYMY23111371,2023/11/18 08:00,,,,,,0.014,0.423,6.85,19.5,5.77,
7,水样,NYMY23111372,2023/11/17 16:32,,,,,,0.036,0.114,4.72,13.7,3.74,
7,水样,NYMY23101397,2023/11/17 16:12,,,,,,0.277,0.129,5.35,6.8,4.59,
7,水样,NYMY23101399,2023/11/17 08:00,,,,,,0.031,0.069,2.67,3.0 (L),2.89,
7,水样,NYMY23103111,2023/11/16 08:00,,,,,,0.012,0.174,0.75,3.1,0.62,
7,水样,NYMY23103113,2023/11/15 08:00,,,,,,0.028,0.124,2.49,3.0 (L),2.69,
7,水样,NYMY23103112,2023/11/14 08:00,,,,,,0.011,0.092,1.35,3.0 (L),1.35,
7,水样,NYMY231013137,2023/11/13 08:00,,,,,,0.011,0.104,2.25,3.1,2.44,
7,水样,NYMY231013132,2023/11/12 08:00,,,,,,0.029,0.076,1.24,3.0 (L),1.27,
7,水样,NYMY231013133,2023/11/11 08:00,,,,,,0.010 (L),0.08,2.81,3.0 (L),3.13,
7,水样,NYMY231013134,2023/11/10 08:00,,,,,,0.024,0.073,4.12,3.0 (L),3.73,
7,水样,NYMY231013135,2023/11/9 08:00,,,,,,0.015,0.086,5.68,3.0 (L),5.24,
7,水样,NYMY231013136,2023/11/8 08:00,,,,,,0.010 (L),0.063,1.74,3.0 (L),1.9,
7,水样,NYMY23103131,2023/11/6 08:00,,,,,,,0.074,1.31,,1.23,
7,水样,NYMY23091906,2023/11/5 08:00,,,,,,0.018,0.064,1.12,3.0 (L),1.26,
7,水样,NYMY2310313,2023/11/4 08:00,,,,,,,0.072,1.19,,1.55,
7,水样,NYMY23103129,2023/11/3 08:00,,,,,,,0.161,1.32,,1.24,
7,水样,NYMY23103128,2023/11/2 08:00,,,,,,,0.078,0.63,,0.7,
7,水样,NYMY23103130,2023/11/1 08:00,,,,,,,0.12,1.43,,1.46,
7,水样,NYMY23103152,2023/10/29 08:00,,,,,,0.014,0.162,4.36,3.7,4.13,
7,水样,NYMY23103151,2023/10/28 08:00,,,,,,0.014,0.108,3.72,4.8,3.87,
7,水样,NYMY23103150,2023/10/27 08:00,,,,,,0.014,0.127,5.14,3.0 (L),5.17,
7,水样,NYMY2310315,2023/10/26 08:00,,,,,,0.01,0.128,5.08,3,5.12,
7,水样,NYMY23103153,2023/10/25 08:00,,,,,,0.010 (L),0.137,4.25,4.4,4.37,
7,水样,NYMY23103154,2023/10/24 08:00,,,,,,0.010 (L),0.092,1.08,3.0 (L),1.31,
7,水样,"NYMY230919114,NYMY2310386,NYMY2310387",2023/10/23 16:12,,,,,,0.010 (L),0.248,4.85,16.8,4.35,
7,水样,NYMY2310388,2023/10/19 08:00,,,,,,0.000 (cc),0.223,4.1,10.7,3.92,
7,水样,NYMY2310389,2023/10/18 08:00,,,,,,0.010 (L),0.361,6.45,16.2,5.83 (T),
7,水样,NYMY2310390,2023/10/17 08:00,,,,,,0.010 (L),0.098,2.45,7.3,2.23,
7,水样,nymy230920103,2023/10/11 08:00,,,,,,0.201,0.61,9.59,30.9,8.69 (T),
7,水样,nymy230920104,2023/10/10 08:00,,,,,,0.54,0.99,15.28,42.7,12.96 (T),
7,水样,nymy23091928,2023/10/9 08:00,,,,,,0.476,0.88,13.88,39.7,12.02 (T),
7,水样,nymy23091929,2023/10/8 08:00,,,,,,0.224,0.526,9.75,32.8,8.34 (T),
7,水样,nymy230920101,2023/10/7 08:00,,,,,,0.010 (L),0.173,1.46,10.5,2.21,
7,水样,nymy230920102,2023/10/6 08:00,,,,,,0.010 (L),0.166,0.98,5.3,1.53,
7,水样,NYMY23092071,2023/10/3 08:00,,,,,,0.010 (L),0.116,0.75,10.4,1.6,
7,水样,NYMY23092066,2023/10/2 08:00,,,,,,0.010 (L),0.167,0.21,11.6,0.94,
7,水样,NYMY23092067,2023/10/1 08:00,,,,,,0.010 (L),0.135,1.06,12.5,1.75,
7,水样,NYMY23092068,2023/9/30 08:00,,,,,,0.010 (L),0.098,1.43,9.7,2.05,
7,水样,NYMY23092069,2023/9/29 08:00,,,,,,0.010 (L),0.099,1.54,9.8,2.3,
7,水样,NYMY23092070,2023/9/28 08:00,,,,,,0.010 (L),0.153,0.09,8,0.81,
7,水样,byd230822164,2023/9/26 08:00,,,,,,0.010 (L),0.142,1.04,15.2,1.67,
7,水样,BYD230822159,2023/9/25 08:00,,,,,,0.010 (L),0.375,2.97,13.4,3.43,
7,水样,byd230822160,2023/9/24 08:00,,,,,,0.010 (L),0.133,1.39,12.6,2.19,
7,水样,byd230822161,2023/9/23 08:00,,,,,,0.010 (L),0.097,0.99,10.6,1.6,
7,水样,byd230822162,2023/9/22 08:00,,,,,,,0.263,4.66,10.3,4.31,
7,水样,byd230822163,2023/9/21 08:00,,,,,,,0.197,6.74,11.5,6.13 (T),
7,水样,NYMY23090675,2023/9/19 08:00,,,,,,0.010 (L),0.122,5.56,7.9,2.63,
7,水样,NYMY23090690,2023/9/18 08:00,,,,,,0.010 (L),0.22,7.02,8.8,5.31 (T),
7,水样,NYMY23090691,2023/9/17 08:00,,,,,,0.010 (L),0.13,14.24,6.4,1.84,
7,水样,NYMY23090692,2023/9/16 08:00,,,,,,0.010 (L),0.303,15,11,6.51 (T),
7,水样,NYMY23090694,2023/9/15 08:00,,,,,,0.010 (L),0.293,8.59,9.9,6.19 (T),
7,水样,NYMY23090674,2023/9/14 23:10,,,,,,0.010 (L),0.317,7.05,15.5,6.69 (T),
7,水样,NYMY23082847,2023/9/2 15:39,,,,,,0.010 (L),0.729,11.28,30,10.16 (T),
7,水样,NYMY23082845,2023/9/2 13:39,,,,,,0.010 (L),0.858,12.04,,10.85 (T),
7,水样,NYMY23082848,2023/9/2 11:39,,,,,,,,12.68,35.2,11.67 (T),
7,水样,BYD23082287,2023/9/2 09:39,,,,,,0.123,1.097,,35.9,10.96 (T),
7,水样,BYD23082286,2023/9/2 07:39,,,,,,0.010 (L),,14.29,35.5,12.75 (T),
7,水样,NYMY23082850,2023/9/2 05:39,,,,,,0.415,,13.08,34.6,10.99 (T),
7,水样,NYMY23082851,2023/9/2 03:39,,,,,,,,,33.4,9.86 (T),
7,水样,NYMY23082852,2023/9/2 01:39,,,,,,,,10.69,29.6,9.17 (T),
7,水样,NYMY23082849,2023/9/1 23:39,,,,,,,,10.58,31.7,9.78 (T),
7,水样,NYMY23082843,2023/9/1 21:39,,,,,,0.010 (L),,11.62,39.2,10.21 (T),
7,水样,NYMY23082844,2023/9/1 19:39,,,,,,0.096,,10.03,40,8.83 (T),
7,水样,BYD23082285,2023/8/29 08:00,,,,,,0.010 (L),,8.07,18.7,,
7,水样,BYD23082284,2023/8/27 08:00,,,,,,0.010 (L),,6.64,18.2,6.54 (T),
7,水样,BYD23082283,2023/8/26 08:00,,,,,,0.010 (L),,11.21 (T),24.2,,
7,水样,BYD23082282,2023/8/25 12:00,,,,,,0.010 (L),,15.05 (T),35.9,,
7,水样,BYD23082281,2023/8/25 10:21,,,,,,0.010 (L),,15.75 (T),40,,
7,水样,BYD23082280,2023/8/24 19:44,,,,,,0.010 (L),,14.86 (T),35.7,,
7,水样,BYD23082259,2023/8/24 12:00,,,,,,0.010 (L),,16.37 (T),38.2,,
7,水样,BYD23082258,2023/8/24 10:39,,,,,,0.010 (L),,16.58 (T),34.6,,
7,水样,BYD23082257,2023/8/23 12:00,,,,,,0.010 (L),,15.61 (T),38.5,,
7,水样,BYD23082256,2023/8/22 14:24,,,,,,0.010 (L),,9.01 (T),33.3,,
11,水样,NYMY23112862,2023/12/13 08:00,,,,,,0.183,0.177,,,,
11,水样,NYMY23112863,2023/12/12 08:00,,,,,,0.010 (L),0.127,,,,
11,水样,NYMY23112864,2023/12/11 08:00,,,,,,0.010 (L),0.129,,,,
11,水样,NYMY23112865,2023/12/10 08:00,,,,,,0.010 (L),0.159,,,,
11,水样,NYMY23112866,2023/12/9 08:00,,,,,,0.010 (L),0.171,,,,
11,水样,NYMY23112867,2023/12/8 08:00,,,,,,0.010 (L),0.185,,,,
11,水样,NYMY23111913,2023/12/7 08:00,,,,,,0.010 (L),0.148,1.88,6,2.22,
11,水样,NYMY23111914,2023/12/6 08:00,,,,,,0.010 (L),0.141,1.83,5.1,2.2,
11,水样,NYMY23111915,2023/12/5 08:00,,,,,,0.010 (L),0.138,1.99,5.2,2.23,
11,水样,NYMY23111911,2023/12/3 08:00,,,,,,0.010 (L),0.156,2.56,3.8,2.7,
11,水样,NYMY23111912,2023/12/2 08:00,,,,,,0.010 (L),0.129,1.77,4.5,2.15,
11,水样,NYMY23111980,2023/11/28 08:00,,,,,,,0.15,4.58,,4.28,
11,水样,NYMY23111982,2023/11/25 08:00,,,,,,,0.149,3.84,,3.71,
11,水样,NYMY23111381,2023/11/21 08:00,,,,,,0.022,0.272,9.24 (T),10.5,8.23,
11,水样,NYMY23111382,2023/11/20 08:00,,,,,,,0.353,11.14 (T),9.2,9.46,
11,水样,NYMY23111383,2023/11/19 08:00,,,,,,0.069,0.352,9.20 (T),12.4,8.02,
11,水样,NYMY23111384,2023/11/18 08:00,,,,,,0.016,0.503,8.75,12.3,7.15,
11,水样,NYMY23111332,2023/11/17 16:40,,,,,,0.028,0.197,4.65,6.1,4.26,
11,水样,NYMY23111331,2023/11/17 16:20,,,,,,0.028,0.223,5,5.1,4.59,
11,水样,NYMY23111334,2023/11/16 08:00,,,,,,0.019,0.19,2.93,3.0 (L),3.26,
11,水样,NYMY23111335,2023/11/15 08:00,,,,,,0.012,0.245,3.82,3.3,3.55,
11,水样,NYMY23111336,2023/11/14 08:00,,,,,,0.023,0.157,3.79,3.0 (L),3.44,
11,水样,NYMY231013131,2023/11/13 08:00,,,,,,0.016,0.151,2.18,3.0 (L),2.38,
11,水样,NYMY231013127,2023/11/12 08:00,,,,,,0.023,0.178,4.31,3.3,3.93,
11,水样,NYMY231013128,2023/11/11 08:00,,,,,,0.024,0.175,3.94,3.8,3.6,
11,水样,NYMY231013129,2023/11/10 08:00,,,,,,0.010 (L),0.182,2.54,3.0 (L),2.77,
11,水样,NYMY23101313,2023/11/9 08:00,,,,,,0.01,0.157,4.56,3.0 (L),4.24,
11,水样,NYMY231013130,2023/11/8 08:00,,,,,,0.010 (L),0.164,5.63,4.8,4.91,
11,水样,NYMY23091902,2023/11/6 08:00,,,,,,0.013,0.162,3.02,3.0 (L),3.12,
11,水样,NYMY23091901,2023/11/5 08:00,,,,,,0.021,0.177,4.85,3.0 (L),4.87,
11,水样,NYMY23091909,2023/11/4 08:00,,,,,,,0.218,4.35,,4.16,
11,水样,NYMY23091904,2023/11/3 08:00,,,,,,,0.181,4.94,,4.74,
11,水样,NYMY23091905,2023/11/2 08:00,,,,,,,0.152,3.73,,3.6,
